Sample Name,Replicate,Wavelength,Absorbance,Toxgreen Dir,Percent GpA,Day
1G2,2,512,1738,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,9.253869089876474,2024-4-11_toxgreen
RD2,2,512,7453,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,39.6830186000284,2024-4-11_toxgreen
LC9,2,512,6846,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,36.45108618486441,2024-4-11_toxgreen
LD21,2,512,14475,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,77.07120545222207,2024-4-11_toxgreen
LD23,2,512,12129,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,64.58007951157178,2024-4-11_toxgreen
LWT3,2,512,15237,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,81.128425386909,2024-4-11_toxgreen
LC2,2,512,7369,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,39.23576600880307,2024-4-11_toxgreen
RWT3,2,512,14694,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,78.23725685077382,2024-4-11_toxgreen
L8,2,512,14559,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,77.5184580434474,2024-4-11_toxgreen
RWT34,2,512,10857,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,57.807397415873915,2024-4-11_toxgreen
L4,2,512,11050,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,58.83501348857022,2024-4-11_toxgreen
NoTM,2,512,0,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,0.0,2024-4-11_toxgreen
2F12,2,512,6410,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,34.12963225898055,2024-4-11_toxgreen
RC8,2,512,9282,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,49.42141133039898,2024-4-11_toxgreen
G3,2,512,-601,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,-3.1999858015050404,2024-4-11_toxgreen
LD9,2,512,7565,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,40.27935538832884,2024-4-11_toxgreen
LC4,2,512,9752,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,51.9238960670169,2024-4-11_toxgreen
RC11,2,512,6536,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,34.80051114581855,2024-4-11_toxgreen
