Sample Name,Replicate,Wavelength,Absorbance,Toxgreen Dir,Percent GpA,Day,ReplicateDay
LC2,1,512,8034,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,42.77651568933693,2024-4-11_toxgreen,2024-4-11_toxgreen-1
LC2,3,512,10356,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,55.139855175351414,2024-4-11_toxgreen,2024-4-11_toxgreen-3
LC2,2,512,7369,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,39.23576600880307,2024-4-11_toxgreen,2024-4-11_toxgreen-2
LC2,1,512,12015,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,59.58146684959584,2024-4-18_toxgreen,2024-4-18_toxgreen-1
LC2,2,512,10640,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,52.76294692298792,2024-4-18_toxgreen,2024-4-18_toxgreen-2
LC2,3,512,10794,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,53.52662115476801,2024-4-18_toxgreen,2024-4-18_toxgreen-3
LC3,1,512,10227,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-23_toxgreen,46.26345788473717,2024-4-23_toxgreen,2024-4-23_toxgreen-1
LC3,3,512,12619,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-23_toxgreen,57.08404957929973,2024-4-23_toxgreen,2024-4-23_toxgreen-3
LC3,2,512,11907,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-23_toxgreen,53.86320455984801,2024-4-23_toxgreen,2024-4-23_toxgreen-2
LC3,1,512,11181,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-26_toxgreen,49.026571954748746,2024-4-26_toxgreen,2024-4-26_toxgreen-1
LC3,2,512,11697,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-26_toxgreen,51.28913443830571,2024-4-26_toxgreen,2024-4-26_toxgreen-2
LC3,3,512,15738,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-26_toxgreen,69.00815574848724,2024-4-26_toxgreen,2024-4-26_toxgreen-3
LC4,1,512,7896,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,42.04174357518104,2024-4-11_toxgreen,2024-4-11_toxgreen-1
LC4,3,512,12067,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,64.2499645037626,2024-4-11_toxgreen,2024-4-11_toxgreen-3
LC4,2,512,9752,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,51.9238960670169,2024-4-11_toxgreen,2024-4-11_toxgreen-2
LC4,1,512,9552,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,47.367638064697424,2024-4-18_toxgreen,2024-4-18_toxgreen-1
LC4,2,512,11115,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,55.118435624907015,2024-4-18_toxgreen,2024-4-18_toxgreen-2
LC4,3,512,10145,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,50.30827974940906,2024-4-18_toxgreen,2024-4-18_toxgreen-3
LC9,1,512,12682,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,62.88906887944856,2024-4-18_toxgreen,2024-4-18_toxgreen-1
LC9,2,512,11314,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,56.10526141792155,2024-4-18_toxgreen,2024-4-18_toxgreen-2
LC9,3,512,10096,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,50.06529249384266,2024-4-18_toxgreen,2024-4-18_toxgreen-3
LC9,1,512,7334,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-29_toxgreen,40.06263770279867,2024-4-29_toxgreen,2024-4-29_toxgreen-1
LC9,2,512,9944,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-29_toxgreen,54.31999854330925,2024-4-29_toxgreen,2024-4-29_toxgreen-2
LC9,3,512,13423,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-29_toxgreen,73.32435040696299,2024-4-29_toxgreen,2024-4-29_toxgreen-3
LD21,1,512,15003,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,79.88250745420986,2024-4-11_toxgreen,2024-4-11_toxgreen-1
LD21,3,512,16222,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,86.37299446258697,2024-4-11_toxgreen,2024-4-11_toxgreen-3
LD21,2,512,14475,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,77.07120545222207,2024-4-11_toxgreen,2024-4-11_toxgreen-2
LD21,1,512,17164,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,85.11496437839892,2024-4-18_toxgreen,2024-4-18_toxgreen-1
LD21,2,512,16812,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,83.3694232771873,2024-4-18_toxgreen,2024-4-18_toxgreen-2
LD21,3,512,17267,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,85.62573350744664,2024-4-18_toxgreen,2024-4-18_toxgreen-3
LD23,1,512,7080,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,37.697004117563544,2024-4-11_toxgreen,2024-4-11_toxgreen-1
