xShift,crossingAngle,axialRotation,zShift,energy
9.1,22.0,-90.0,6.75,7.760772
8.7,28.0,-55.0,0.825,4.356911
9.1,18.0,-15.0,1.575,-7.620978
9.3,20.0,-105.0,2.925,-3.33693
8.5,22.0,-63.3333,2.75,-7.081277
9.5,28.0,-68.3333,1.475,-4.080854
9.1,18.0,-100.0,4.2,-0.920722
9.3,26.0,-96.6667,5.05,-3.489928
8.7,22.0,-50.0,6.15,-8.202561
8.5,20.0,-106.667,2.5,6.552852
9.3,22.0,-60.0,4.95,-5.182961
9.3,26.0,-6.66667,1.0,-5.801379
8.9,22.0,-11.6667,1.075,-8.965418
8.9,24.0,-113.333,3.5,0.732788
9.3,26.0,-58.3333,1.325,-5.296078
9.5,24.0,-116.667,4.0,-1.793563
9.3,20.0,-58.3333,1.325,-5.729206
9.1,26.0,-105.0,4.275,-5.422032
9.5,28.0,-66.6667,3.25,0.009569
9.5,26.0,-61.6667,5.875,2.245524
9.1,26.0,-51.6667,1.675,-2.689532
8.9,20.0,-100.0,6.9,-5.187425
9.3,26.0,-116.667,4.0,5.085995
9.3,26.0,-51.6667,3.025,-4.5006
9.1,20.0,-8.33333,0.575,-7.693686
9.3,28.0,-5.0,0.075,-3.868508
8.9,22.0,-96.6667,6.4,-1.729012
9.5,18.0,-93.3333,3.2,2.201943
9.1,18.0,-95.0,6.825,-1.331687
8.5,20.0,-53.3333,5.3,-11.07839
9.5,28.0,-86.6667,6.25,-1.859212
9.5,22.0,-11.6667,1.075,-5.282634
8.9,18.0,-51.6667,5.725,-8.474732
9.5,20.0,-45.0,4.725,-4.089246
9.3,22.0,-86.6667,6.25,6.762411
8.9,18.0,-15.0,0.225,-9.593202
9.3,18.0,-15.0,1.575,-6.635528
9.5,22.0,-88.3333,5.825,0.209345
9.3,26.0,-58.3333,5.375,-4.447863
9.5,18.0,-116.667,5.35,9.217181
9.3,24.0,-56.6667,3.1,-5.501534
9.5,28.0,-48.3333,2.525,-3.583288
9.3,26.0,-60.0,2.25,-5.414857
