"","Distance","Angle","Z1","Z2","Rot1","Rot2"
"183",10.5267,-39.7687,5.12078,2.82289,2.63476,6.93661
"184",6.79755,-29.489,2.54841,1.43266,39.1433,58.9831
"185",9.13282,-12.0511,5.77841,3.70119,40.288,42.0009
"186",7.87737,58.0874,4.8897,2.67069,8.31131,11.9762
"187",9.06012,49.9704,1.62053,1.9271,96.4779,3.05301
"188",10.3502,-27.6796,5.96372,0.0691993,60.9904,8.24908
"189",11.5729,32.3477,1.62525,4.93655,39.8937,65.3373
"190",7.45885,-32.0911,0.433966,5.48218,40.0361,66.3237
"191",10.7459,27.7622,0.00560883,4.43195,2.95922,39.6374
"192",7.27358,-46.9342,5.42397,3.42827,17.2359,92.4371
"193",7.43662,-47.9886,0.967675,1.10199,43.0461,56.189
"194",7.8546,-62.7522,0.510963,2.62287,98.85,13.0364
"195",11.4316,-24.1758,0.196596,4.75152,90.1245,52.2362
"196",7.20028,-41.3532,5.86968,0.981983,63.3693,33.522
"197",8.59311,28.0071,4.28876,0.662176,62.4861,70.0921
"198",7.32288,-45.6339,2.81338,2.73727,37.812,65.7016
"199",6.76361,-25.9362,1.33445,0.756125,40.723,48.384
"200",8.89736,32.0847,3.98966,4.64121,78.5561,81.3427
"201",10.9519,27.9511,5.12266,1.61048,21.5515,45.8655
"202",9.96266,65.1672,1.77181,5.56897,36.6291,70.4386
"203",8.10399,17.2443,1.79173,3.35721,98.3885,87.4556
"204",9.50429,17.2934,4.77605,1.6844,72.8596,45.5886
"205",10.3968,-72.3844,1.75167,1.5847,15.8397,7.67955
"206",8.89731,-39.081,3.07158,4.62416,57.7181,36.3679
"207",8.61715,-40.7787,4.53244,0.723361,60.451,36.4858
"208",10.7007,-71.0111,5.42084,1.13175,23.5984,1.83351
"209",8.58255,-60.3785,1.74437,2.1921,78.6117,26.8967
"210",10.6898,-71.4102,5.45073,1.10966,22.7543,1.35117
"211",6.65448,-38.9287,0.056735,5.85045,55.5613,57.136
"212",10.5376,33.899,3.3513,2.80094,99.9354,26.7498
"213",10.5032,34.1919,3.4672,2.91712,98.6413,25.4334
"214",7.97059,-56.2019,5.3681,1.60719,2.97049,17.8482
"215",7.89457,-56.6187,5.36357,1.64043,2.66903,17.3436
"216",8.93533,29.7157,0.0664141,2.24328,66.7894,43.9336
"217",9.01157,-70.3829,4.50901,5.1499,84.1865,51.5996
"218",10.2459,-36.3084,3.53184,0.293603,8.06267,10.1511
"219",9.49038,-37.3561,0.491406,1.466,2.32965,23.9129
"220",7.00726,-38.8169,5.61666,4.24748,29.9503,68.511
"221",6.87687,-38.6026,3.63786,2.85476,30.4982,55.99
"222",7.93163,-61.128,5.95033,2.1403,99.4563,3.29462
"223",10.7603,34.6708,3.97399,4.80466,11.0495,99.8192
"224",11.7388,-55.9358,2.01788,0.364132,66.9755,90.7051
"225",10.5928,-51.1006,3.13563,3.3982,32.3486,46.2945
"226",7.17823,-68.229,5.40693,5.0924,43.1842,19.4009
"227",9.26498,-45.2468,2.73913,5.36919,57.6726,36.6776
"228",6.45243,-39.7953,4.50387,4.42256,55.6658,60.5834
"229",9.32231,27.0768,0.574241,0.139157,59.1283,54.8035
"230",9.54574,21.414,4.37145,3.07418,78.7501,92.3444
"231",9.41945,6.11565,0.536104,3.37675,72.4023,92.8815
