Sample Name,Replicate,Wavelength,Average Absorbance,Percent GpA
M27,2024-4-27_toxgreen,512.0,16310.666666666666,74.41789728225326
M27,2024-4-29_toxgreen,512.0,13244.666666666666,72.35018845936743
M37,2024-4-26_toxgreen,512.0,11234.333333333334,49.2604285421965
M37,2024-4-27_toxgreen,512.0,12121.666666666666,55.3054613477712
M39,2024-4-26_toxgreen,512.0,13796.333333333334,60.49431436171767
M39,2024-4-27_toxgreen,512.0,15475.666666666666,70.60818517786261
M40,2024-4-26_toxgreen,512.0,5283.666666666667,23.16787979771405
M40,2024-4-27_toxgreen,512.0,13098.333333333334,59.76153179322616
NoTM,2024-4-11_toxgreen,512.0,0.0,0.0
NoTM,2024-4-13_toxgreen,512.0,0.0,0.0
NoTM,2024-4-18_toxgreen,512.0,0.0,0.0
NoTM,2024-4-23_toxgreen,512.0,0.0,0.0
NoTM,2024-4-26_toxgreen,512.0,0.0,0.0
NoTM,2024-4-27_toxgreen,512.0,0.0,0.0
NoTM,2024-4-29_toxgreen,512.0,0.0,0.0
RC1,2024-4-13_toxgreen,512.0,9257.333333333334,38.47123522974414
RC1,2024-4-18_toxgreen,512.0,7332.333333333333,36.36048068499264
RC1,2024-4-29_toxgreen,512.0,6818.0,37.243941076858654
RC11,2024-4-11_toxgreen,512.0,6989.666666666667,37.21603010080932
RC11,2024-4-18_toxgreen,512.0,12113.333333333334,60.069094335256295
RC11,2024-4-26_toxgreen,512.0,8604.333333333334,37.72837557367944
RC11,2024-4-27_toxgreen,512.0,9710.0,44.302161118123884
RC2,2024-4-13_toxgreen,512.0,9633.0,40.032414910858996
RC2,2024-4-23_toxgreen,512.0,10459.666666666666,47.31596248379022
RC2,2024-4-29_toxgreen,512.0,7690.666666666667,42.01096159798977
RC6,2024-4-26_toxgreen,512.0,4772.666666666667,20.92724136923032
RC6,2024-4-27_toxgreen,512.0,13237.333333333334,60.395723389046886
RC6,2024-4-29_toxgreen,512.0,11380.333333333334,62.16609916422368
RC7,2024-4-26_toxgreen,512.0,9705.0,42.554590897132336
RC7,2024-4-27_toxgreen,512.0,13935.333333333334,63.580368956549506
RC8,2024-4-11_toxgreen,512.0,9223.666666666666,49.11081925315917
RC8,2024-4-18_toxgreen,512.0,14556.666666666666,72.18539762302262
RC8,2024-4-23_toxgreen,512.0,12815.0,57.970686691396
RD17,2024-4-11_toxgreen,512.0,4048.3333333333335,21.555090160442997
RD17,2024-4-18_toxgreen,512.0,9708.333333333334,48.14288311817114
RD17,2024-4-23_toxgreen,512.0,7422.333333333333,33.57610301878827
RD2,2024-4-11_toxgreen,512.0,7094.0,37.77154621610109
RD2,2024-4-18_toxgreen,512.0,8826.666666666666,43.770765492503756
RD2,2024-4-26_toxgreen,512.0,5562.666666666667,24.391242070800086
RD2,2024-4-27_toxgreen,512.0,8268.666666666666,37.726035313978066
RD3,2024-4-26_toxgreen,512.0,14657.333333333334,64.26963664532725
RD3,2024-4-27_toxgreen,512.0,17553.666666666668,80.0891214089091
RD3,2024-4-29_toxgreen,512.0,13794.666666666666,75.35461315755931
RD36,2024-4-26_toxgreen,512.0,13697.0,60.05875646759625
RD36,2024-4-27_toxgreen,512.0,12098.333333333334,55.199002326890025
RD39,2024-4-13_toxgreen,512.0,11403.333333333334,47.38949147377025
RD39,2024-4-23_toxgreen,512.0,10414.333333333334,47.11088995446183
RD39,2024-4-29_toxgreen,512.0,8085.333333333333,44.16686392687413
RD52,2024-4-13_toxgreen,512.0,8602.666666666666,35.75059912174985
RD52,2024-4-18_toxgreen,512.0,12698.0,62.96841165677637
RD52,2024-4-29_toxgreen,512.0,12151.333333333334,66.37775633205267
RD53,2024-4-26_toxgreen,512.0,10359.333333333334,45.42371890438189
RD53,2024-4-27_toxgreen,512.0,13392.666666666666,61.104436299484426
RD53,2024-4-29_toxgreen,512.0,10403.666666666666,56.83096924561628
RWT3,2024-4-11_toxgreen,512.0,15066.333333333334,80.2197217094988
RWT3,2024-4-18_toxgreen,512.0,16356.666666666666,81.11146007240028
RWT3,2024-4-26_toxgreen,512.0,10945.0,47.99175655529246
RWT3,2024-4-27_toxgreen,512.0,14986.666666666666,68.37710826882424
RWT30,2024-4-26_toxgreen,512.0,14744.0,64.64965359992983
RWT30,2024-4-27_toxgreen,512.0,14043.666666666666,64.07464298206925
RWT33,2024-4-26_toxgreen,512.0,5770.666666666667,25.303282761846294
RWT33,2024-4-27_toxgreen,512.0,12816.333333333334,58.47489848371938
RWT34,2024-4-11_toxgreen,512.0,11513.666666666666,61.30377679965923
RWT34,2024-4-18_toxgreen,512.0,13313.333333333334,66.01980263484138
RWT34,2024-4-23_toxgreen,512.0,11666.0,52.773002804668415
RWT38,2024-4-26_toxgreen,512.0,12621.0,55.340699815837944
RWT38,2024-4-27_toxgreen,512.0,11868.333333333334,54.149620549632715
RWT39,2024-4-13_toxgreen,512.0,13241.0,55.02638906204546
RWT39,2024-4-23_toxgreen,512.0,13848.333333333334,62.64513405108719
RWT39,2024-4-29_toxgreen,512.0,11504.0,62.841639505453486
RWT40,2024-4-13_toxgreen,512.0,11686.666666666666,48.56695618446023
RWT40,2024-4-18_toxgreen,512.0,11492.0,56.987949815693334
RWT40,2024-4-29_toxgreen,512.0,11656.666666666666,63.67559496713343
YF3,2024-4-26_toxgreen,512.0,9096.333333333334,39.88570259288491
YF3,2024-4-27_toxgreen,512.0,12713.333333333334,58.00495794868675
YF6,2024-4-26_toxgreen,512.0,10883.333333333334,47.721359876056006
YF6,2024-4-27_toxgreen,512.0,11523.666666666666,52.57706872690219
YF7,2024-4-26_toxgreen,512.0,2364.6666666666665,10.368616445964513
YF7,2024-4-27_toxgreen,512.0,11557.0,52.72915304244673
YF7,2024-4-29_toxgreen,512.0,9091.666666666666,49.66405069283854
YF9,2024-4-13_toxgreen,512.0,14329.666666666666,59.55062405629667
YF9,2024-4-23_toxgreen,512.0,12080.0,54.645797521035014
YF9,2024-4-29_toxgreen,512.0,10108.666666666666,55.21950508931335
